"JERRY","GEORGE","KRAMER","ELAINE","MORTY","HELEN","NEWMAN","SUSAN","ESTELLE","FRANK","All.others","word"
99,62,63,58,8,1,1,1,4,3,65,"around"
2,0,0,1,0,0,0,1,0,0,0,"around coffee"
1,3,0,1,0,0,0,0,0,0,0,"around corner"
2,0,1,1,0,0,0,0,0,0,0,"around george"
1,1,1,1,0,0,0,0,0,0,1,"around hey"
2,1,0,0,1,0,0,0,0,0,0,"around house"
0,1,4,0,0,0,0,0,0,0,1,"around im"
1,0,0,1,0,0,0,0,0,0,1,"around just"
1,0,2,0,0,0,0,0,0,0,1,"around know"
5,2,1,2,0,0,0,0,0,0,1,"around like"
2,0,1,1,0,0,0,0,0,0,0,"around naked"
0,1,0,0,2,0,0,0,0,0,1,"around office"
1,0,4,1,0,0,0,0,0,0,0,"around oh"
2,0,1,1,2,0,0,0,0,0,0,"around well"
2,0,0,1,0,0,0,0,0,0,1,"arranged"
3,0,1,0,0,0,0,0,0,1,8,"arrest"
4,2,2,0,0,0,0,0,0,0,3,"arrested"
0,0,1,1,0,0,0,0,0,0,1,"arriving"
3,14,5,5,0,0,0,3,0,0,7,"art"
0,5,0,3,0,0,0,2,0,0,1,"art vandelay"
0,1,3,0,0,0,0,0,0,0,3,"arthur"
4,1,4,1,0,1,0,0,0,0,2,"article"
1,1,1,1,0,0,0,0,0,0,1,"artie"
1,1,0,2,0,0,0,0,0,0,0,"artist"
2,2,1,1,0,0,0,0,0,0,5,"ashamed"
3,5,1,1,0,0,1,0,1,0,3,"aside"
91,80,19,43,3,3,3,1,0,1,40,"ask"
0,1,0,2,0,0,1,0,0,0,0,"ask didnt"
1,0,0,2,0,1,0,0,0,0,0,"ask dont"
2,1,0,0,2,1,0,0,0,0,1,"ask elaine"
1,0,0,1,0,0,0,0,0,1,0,"ask get"
0,0,2,1,0,0,0,0,0,0,1,"ask got"
1,0,0,1,0,0,0,0,0,0,1,"ask now"
12,9,0,4,0,0,0,1,0,0,1,"ask question"
0,1,2,1,0,0,0,0,0,0,0,"ask questions"
5,10,2,7,0,0,0,0,0,0,7,"ask something"
2,1,0,1,0,0,0,0,0,0,0,"ask woman"
30,23,8,20,0,0,0,0,0,0,26,"asked"
16,7,6,4,0,2,0,0,0,0,10,"asking"
3,0,1,0,0,0,0,0,0,0,2,"asks"
8,2,2,1,0,0,0,0,0,0,1,"asleep"
3,2,1,3,0,0,0,0,0,0,6,"ass"
4,8,2,2,0,0,0,0,0,0,5,"assistant"
4,0,6,0,0,0,0,0,1,3,1,"assman"
1,0,0,3,0,0,0,0,0,0,1,"associate"
1,3,0,1,0,1,0,0,0,0,3,"association"
4,2,4,0,0,0,0,0,0,0,2,"assume"
0,1,3,1,0,0,0,0,0,0,3,"assumed"
1,0,1,0,0,0,0,0,0,0,1,"assure"
1,0,0,1,1,0,0,0,0,0,2,"astronaut"
1,0,0,1,0,1,0,0,0,0,0,"astronauts"
9,5,1,10,0,0,0,0,0,2,5,"ate"
1,0,0,0,0,0,1,0,0,1,0,"athletic"
0,1,0,0,0,0,0,1,0,0,1,"atm"
1,1,1,0,0,0,0,0,0,0,0,"atmosphere"
2,1,0,1,0,0,0,0,0,0,1,"attached"
3,4,1,2,0,0,0,0,0,0,2,"attack"
1,1,1,2,0,0,0,0,0,1,0,"attempts"
6,7,1,7,0,0,0,0,0,2,11,"attention"
0,5,0,0,0,0,0,0,2,4,0,"attic"
6,1,2,1,0,0,0,0,0,0,3,"attitude"
1,0,0,1,0,0,0,0,0,0,2,"attorney"
5,3,1,1,0,0,0,0,0,0,3,"attracted"
2,1,0,0,0,0,0,0,0,0,1,"attractions"
7,8,3,4,0,2,0,0,0,0,3,"attractive"
2,1,0,0,0,0,0,0,0,0,1,"attractive woman"
2,0,1,4,0,0,0,0,0,0,2,"auction"
6,3,1,0,0,0,0,0,1,0,6,"audience"
2,0,1,1,0,0,0,0,0,0,0,"audited"
0,2,3,0,0,0,0,0,0,0,2,"audition"
6,3,0,2,0,0,0,0,0,0,3,"audrey"
2,10,1,0,0,0,0,1,1,0,4,"aunt"
0,0,1,1,0,0,0,0,0,0,1,"autobiography"
1,0,0,1,0,0,0,0,0,0,1,"autograph"
1,0,1,2,0,0,0,0,0,0,4,"autographed"
1,1,0,0,0,0,0,0,0,0,1,"automatically"
1,1,0,0,0,0,0,0,0,0,1,"ava"
1,2,2,0,1,0,0,0,0,1,4,"available"
5,3,4,4,0,1,0,0,1,1,6,"avenue"
1,1,0,0,0,0,0,0,0,0,1,"average"
2,1,1,2,0,0,0,0,0,0,1,"avoid"
2,9,2,0,0,0,0,0,0,0,0,"aw cmon"
1,1,1,0,0,0,0,0,0,0,0,"aw come"
2,0,1,0,0,0,0,0,0,1,0,"aw didnt"
1,2,2,0,0,0,0,0,0,0,0,"aw right"
1,1,2,0,0,0,0,0,0,0,1,"aw thats"
1,0,1,0,0,0,0,0,0,0,1,"awake"
